run_id,cell_id,task_family,difficulty_band,condition,n,correct,accuracy,ci_lower,ci_upper,truncation_rate,no_answer_rate,unresolved_labels,review_coverage_complete,classification,exclusion_reasons
p10c-trackb-plan-d778736ff8a2,arithmetic|easy|r1_style_thinking,arithmetic,easy,r1_style_thinking,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,arithmetic|easy|visible_cot,arithmetic,easy,visible_cot,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,arithmetic|hard|r1_style_thinking,arithmetic,hard,r1_style_thinking,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,arithmetic|hard|visible_cot,arithmetic,hard,visible_cot,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,arithmetic|medium|r1_style_thinking,arithmetic,medium,r1_style_thinking,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,arithmetic|medium|visible_cot,arithmetic,medium,visible_cot,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,counterfactual_entity_replacement|easy|r1_style_thinking,counterfactual_entity_replacement,easy,r1_style_thinking,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,counterfactual_entity_replacement|easy|visible_cot,counterfactual_entity_replacement,easy,visible_cot,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,counterfactual_entity_replacement|hard|r1_style_thinking,counterfactual_entity_replacement,hard,r1_style_thinking,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,counterfactual_entity_replacement|hard|visible_cot,counterfactual_entity_replacement,hard,visible_cot,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,counterfactual_entity_replacement|medium|r1_style_thinking,counterfactual_entity_replacement,medium,r1_style_thinking,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
p10c-trackb-plan-d778736ff8a2,counterfactual_entity_replacement|medium|visible_cot,counterfactual_entity_replacement,medium,visible_cot,10,0,,,,0.0,0.0,10,true,not_adjudicated,labels_not_semantically_adjudicated;unresolved_semantic_labels_present
